#{"t_start": 1776169884.952789, "env_id": "None"}
r,l,t
10.594098,6,13.131241
10.341006,6,13.136917
19.714774,11,13.14792
10.479018,6,13.154556
10.798929,6,13.165539
10.789075,6,13.177808
10.433058,6,13.186118
10.376365,6,13.200081
14.313277,8,13.211258
10.52271,6,13.2191
10.688834,6,13.229328
10.793246,6,13.235103
10.213152,6,13.243818
9.732458,6,13.249958
10.160778,6,13.260977
12.035953,7,13.275345
10.722082,6,13.282568
10.689884,6,13.293016
10.81111,6,13.304368
10.267981,6,13.315164
10.58293,6,13.332228
10.748298,6,13.346807
10.979362,6,13.360549
10.338302,6,13.366616
12.25197,7,13.378431
12.226308,7,13.386474
12.074211,7,13.395261
11.655926,7,13.399924
10.301488,6,13.410982
11.980398,7,13.420691
12.325773,7,13.429786
10.926697,6,13.43497
10.587946,6,13.446493
10.205068,6,13.451973
14.461084,8,13.46227
10.988521,6,13.467382
10.500919,6,13.475723
10.975385,6,13.48064
10.532079,6,13.484301
10.521513,6,13.489318
12.143627,7,13.498438
10.428968,6,13.50304
10.930583,6,13.51255
10.782265,6,13.519509
10.967669,6,13.532211
10.083441,6,13.547236
10.346873,6,13.559906
10.515093,6,13.568988
10.883262,6,13.580886
10.8394,6,13.593235
10.292088,6,13.60679
12.190956,7,13.619908
10.826544,6,13.636903
12.191931,7,13.65161
10.720345,6,13.66518
9.760735,6,13.677912
10.942249,6,13.693774
10.429344,6,13.705661
10.761071,6,13.71759
10.836803,6,13.7309
10.967934,6,13.738825
10.610731,6,13.748483
10.421916,6,13.754184
11.911136,7,13.763825
10.863902,6,13.770795
10.836813,6,13.780612
12.191708,7,13.788689
11.617,7,13.80047
10.20016,6,13.813898
9.879369,6,13.829012
9.166062,5,13.841077
10.042431,6,13.851166
12.148499,7,13.863123
10.626841,6,13.869309
10.65382,6,13.877118
8.983612,5,13.881441
10.857503,6,13.885503
12.134478,7,13.892825
8.965871,5,13.897669
10.465453,6,13.902647
12.241292,7,13.915098
10.978431,6,13.920842
12.23784,7,13.929411
10.481393,6,13.933636
10.65757,6,13.937943
10.043198,6,13.945601
