#{"t_start": 1776169974.3279428, "env_id": "None"}
r,l,t
10.20326,6,18.691974
12.023064,7,18.698435
10.503854,6,18.70852
10.710597,6,18.714551
11.871041,7,18.726506
12.934795,7,18.735132
11.929134,7,18.744045
10.787123,6,18.750303
10.791938,6,18.760442
11.924456,7,18.769422
10.706702,6,18.777224
8.90112,5,18.783978
10.298528,6,18.79297
10.8198,6,18.800398
10.065943,6,18.812443
11.673895,7,18.828594
10.161329,6,18.839399
10.591004,6,18.847828
10.82731,6,18.857489
12.102677,7,18.86429
10.248993,6,18.873433
10.404547,6,18.878219
10.844442,6,18.883914
10.367459,6,18.893084
10.114567,6,18.897472
10.927851,6,18.905097
10.275878,6,18.910678
10.302991,6,18.915888
11.610076,7,18.925567
10.716914,6,18.932321
9.988035,6,18.942348
10.866333,6,18.947835
10.901404,6,18.958153
9.930513,6,18.965092
10.186183,6,18.976155
11.789928,7,18.984719
10.622089,6,18.996199
10.830517,6,19.00752
10.509677,6,19.0133
10.896238,6,19.024819
9.094675,5,19.029074
10.575268,6,19.034023
11.726044,7,19.045575
10.546944,6,19.052987
10.171216,6,19.062363
10.510968,6,19.068048
12.323448,7,19.079649
10.475679,6,19.09103
10.755266,6,19.099092
12.025799,7,19.111487
10.658587,6,19.117095
12.829163,7,19.128704
10.891132,6,19.139885
12.067715,7,19.146111
10.445508,6,19.158087
10.871299,6,19.165837
10.839615,6,19.173895
11.827676,7,19.180035
12.172664,7,19.19493
10.893565,6,19.206835
10.491947,6,19.213962
10.138475,6,19.226148
10.75751,6,19.231633
10.862069,6,19.242552
10.230092,6,19.247772
9.932482,6,19.26211
10.236216,6,19.27371
10.865715,6,19.280934
10.798449,6,19.291027
11.972908,7,19.300086
10.905094,6,19.313815
10.921401,6,19.327642
10.37331,6,19.332888
10.388087,6,19.347679
9.979595,6,19.362943
11.595296,7,19.370582
12.046892,7,19.380225
9.963626,6,19.388734
10.87984,6,19.394859
10.802476,6,19.5428
10.48438,6,19.548809
10.692738,6,19.559549
11.74851,7,19.569485
12.241954,7,19.582411
9.37315,6,19.598922
10.148983,6,19.615439
12.03717,7,19.633468
10.524324,6,19.649089
10.845688,6,19.66573
10.645431,6,19.679685
12.151267,7,19.689745
10.804073,6,19.697357
11.545143,7,19.707918
10.189763,6,19.715481
11.909743,7,19.728488
10.590182,6,19.74228
10.763856,6,19.750485
11.934674,7,19.763523
10.47126,6,19.777826
8.910613,5,19.790009
10.176628,6,19.80418
12.806269,7,19.817694
10.163377,6,19.833083
10.323731,6,19.849041
11.785309,7,19.864743
10.886803,6,19.877223
10.385587,6,19.891189
12.111397,7,19.906876
10.203822,6,19.918599
10.760696,6,19.934178
9.919704,6,19.947179
8.820846,5,19.960571
10.421457,6,19.978589
12.149523,7,19.996892
10.367274,6,20.011225
10.436812,6,20.026874
12.134649,7,20.044071
10.174761,6,20.057913
10.148595,6,20.067128
11.938335,7,20.08139
10.29086,6,20.094276
10.762851,6,20.112564
10.423802,6,20.129059
10.128856,6,20.144186
9.55066,6,20.160361
10.340628,6,20.175813
11.722785,7,20.197032
9.730639,6,20.210082
10.899103,6,20.224901
9.587633,6,20.233713
10.890235,6,20.2463
10.658476,7,20.260345
11.961498,7,20.276786
10.337012,6,20.283514
11.918303,7,20.295066
10.526139,6,20.29925
10.359232,6,20.309169
12.188552,7,20.320026
10.247343,6,20.327156
11.764214,7,20.332376
10.601675,6,20.341863
10.650326,6,20.348205
10.624628,6,20.359383
8.93202,5,20.364221
10.773777,6,20.377005
10.812429,6,20.382465
11.901574,7,20.393076
10.449744,6,20.39737
9.922723,6,20.406552
11.300493,7,20.412314
9.939551,6,20.417476
10.824338,6,20.428067
10.38686,6,20.433965
10.370451,6,20.444765
10.660787,6,20.454341
10.047644,6,20.460388
10.846896,6,20.474248
9.986907,6,20.480792
10.935121,6,20.49417
10.591287,6,20.500468
12.091707,7,20.511169
10.876701,6,20.516498
10.205261,6,20.526862
10.256114,6,20.532871
11.923107,7,20.545929
11.854628,7,20.55881
10.85579,6,20.566163
10.855156,6,20.579072
10.652922,6,20.591064
11.930011,7,20.598287
10.278862,6,20.609958
